age_y,N,Diaum-X,Nribs-X,Nspines-X,Diaum-CV,Nribs-CV,Nspines-CV,slope,se slope
0.00,50,49.3491,69.0800,18.5400,0.1778,0.2042,0.1748,0.323,0.026
-322.26,50,45.1673,68.3600,17.6200,0.1424,0.1876,0.1361,0.295,0.033
-580.07,50,47.8823,72.6000,17.9800,0.1803,0.2240,0.1484,0.255,0.025
-837.88,50,46.2934,70.1800,19.2000,0.1679,0.2260,0.1726,0.342,0.037
-1095.68,50,46.0003,73.0800,18.9600,0.1655,0.2059,0.1529,0.293,0.035
-1353.49,50,43.2237,64.2000,17.2400,0.1345,0.1677,0.1181,0.249,0.036
-1611.30,51,46.8365,74.4902,19.0196,0.1125,0.1870,0.1405,0.364,0.050
-1804.66,50,46.1392,74.8800,18.7800,0.1289,0.1520,0.1260,0.277,0.041
-2062.46,50,42.2364,64.7400,17.1600,0.1945,0.2354,0.1825,0.312,0.032
-2320.27,50,49.4866,79.1800,19.4600,0.1499,0.1883,0.1668,0.343,0.039
-2578.08,50,44.7045,70.3000,18.2800,0.2339,0.2695,0.1876,0.280,0.025
-2835.89,50,41.7273,63.6400,17.4800,0.1649,0.1941,0.1251,0.242,0.030
-3093.70,50,45.9078,69.1400,18.5400,0.1296,0.1531,0.1366,0.243,0.050
-3415.96,50,41.3108,64.5600,16.7000,0.1759,0.2246,0.1633,0.333,0.025
-3673.76,50,44.1646,66.0600,18.2600,0.1946,0.2222,0.1560,0.283,0.025
-3931.57,50,44.1955,67.0600,18.3200,0.2116,0.2700,0.1843,0.308,0.027
-3996.02,50,46.2317,70.3400,19.0400,0.1526,0.1911,0.1602,0.333,0.040
-4253.83,51,46.2006,69.8431,18.4706,0.2046,0.2287,0.1470,0.222,0.026
-4511.64,50,43.4242,66.0800,18.3000,0.1344,0.1683,0.1494,0.356,0.044
-4769.45,50,47.0339,72.9200,19.9200,0.1811,0.2243,0.1412,0.249,0.031
-5027.26,50,45.9849,68.4600,19.5400,0.2017,0.2690,0.1791,0.282,0.036
-5285.06,50,43.8715,67.7600,19.1000,0.2049,0.2407,0.1802,0.316,0.031
-5542.87,56,46.9804,74.5000,20.0536,0.0949,0.1321,0.1147,0.316,0.056
-5736.23,50,47.1264,71.4400,19.4800,0.0990,0.1461,0.1113,0.238,0.058
-5994.04,50,46.7099,70.5200,18.0400,0.1825,0.2130,0.1646,0.289,0.028
-6251.84,51,46.2164,69.5686,19.5294,0.1401,0.1785,0.1624,0.361,0.047
-6509.65,50,49.7180,76.2000,20.3400,0.1323,0.1608,0.1231,0.234,0.043
-6767.46,50,52.4793,78.3200,20.7200,0.1618,0.2127,0.1379,0.216,0.037
-7025.27,50,47.9594,72.1800,19.8800,0.1186,0.1452,0.1116,0.211,0.047
-7218.62,50,51.8931,80.3600,21.6800,0.1792,0.1967,0.1691,0.308,0.036
-7476.43,50,51.6154,79.3200,21.6600,0.1429,0.1936,0.1416,0.217,0.051
-7734.24,50,53.0192,76.7200,23.2800,0.1069,0.1578,0.1299,0.232,0.069
-7992.05,50,57.8475,86.0800,25.3600,0.1473,0.1866,0.1498,0.303,0.047
-8249.86,51,56.7470,83.5882,24.3333,0.1071,0.1539,0.1337,0.211,0.070
-8507.66,51,55.8875,82.0784,25.5098,0.1523,0.1805,0.1680,0.377,0.048
-8765.47,50,50.1962,70.1000,22.5000,0.1138,0.1503,0.1395,0.275,0.069
-8958.83,50,53.6979,79.4400,22.8000,0.0954,0.1369,0.1234,0.371,0.058
-9216.64,50,56.7214,88.9200,23.0000,0.0967,0.1526,0.1072,0.219,0.057
-9474.44,50,52.0628,80.1600,21.4400,0.0794,0.1706,0.1330,0.307,0.089
-9732.25,51,61.5793,91.8824,22.9804,0.1173,0.1809,0.1546,0.354,0.049
-9796.70,25,59.4896,89.0400,21.2800,0.1141,0.1832,0.1532,0.296,0.079
-9861.16,25,61.2924,90.6000,21.1600,0.0998,0.1751,0.1467,0.316,0.083
-9925.61,25,61.4503,93.8000,22.0000,0.0904,0.1450,0.1525,0.298,0.109
-9990.06,51,61.0468,95.8039,24.3137,0.0868,0.1348,0.1227,0.301,0.068
-10118.96,25,64.3402,102.1600,23.2400,0.1068,0.1559,0.0956,0.184,0.055
-10183.42,25,61.9785,97.5200,23.1200,0.1009,0.1618,0.1521,0.282,0.101
-10247.87,51,54.6751,85.0588,22.3529,0.1237,0.1728,0.1851,0.405,0.065
-10441.22,51,54.8644,85.9020,22.9608,0.1331,0.1846,0.1727,0.340,0.060
-10699.03,51,58.4397,90.8627,25.8627,0.1241,0.1844,0.1853,0.440,0.070
-10956.84,51,52.3848,82.9216,27.1961,0.1151,0.1911,0.1557,0.477,0.074
-11214.65,51,54.5626,94.5882,31.2353,0.1436,0.1767,0.1430,0.421,0.055
-11343.55,25,51.2552,77.7600,29.0800,0.1365,0.1837,0.1512,0.455,0.090
-11472.46,51,50.6516,79.1765,29.3333,0.1100,0.1553,0.1262,0.507,0.061
-11730.26,50,51.4766,72.6600,29.4800,0.1249,0.1792,0.1514,0.544,0.062
-11859.17,23,45.8602,69.2174,26.3043,0.1796,0.2820,0.1755,0.490,0.060
-11988.07,27,44.1641,68.0370,26.1852,0.1647,0.2386,0.1553,0.426,0.072
-12181.43,42,39.4649,49.8571,22.6905,0.1303,0.1957,0.1613,0.480,0.083
-12310.33,42,41.8338,49.5714,23.3095,0.1371,0.2101,0.1515,0.507,0.055
-12439.24,20,40.5318,54.5000,22.6500,0.1611,0.1971,0.1896,0.580,0.073
-12954.85,29,43.6369,58.1724,25.3103,0.1827,0.2603,0.1981,0.586,0.042
-13212.66,8,39.3363,52.3750,23.3750,0.1866,0.2289,0.2045,0.626,0.073
-13470.47,50,42.5603,61.4000,26.0800,0.1376,0.1888,0.1582,0.623,0.046
-13599.37,25,37.0061,48.8800,22.2800,0.1761,0.2166,0.2143,0.681,0.056
-13728.28,13,43.3338,58.4615,26.6154,0.1514,0.1871,0.1677,0.646,0.064
